ra,dec,classe,g,i,r,u,z,subclasse,redshift
331.81474,11.956218,GALAXY,10.464716,43.15926,28.427328000000006,3.935741,59.369682,STARFORMING,0.120619
331.79644,12.426644,GALAXY,8.819208999999997,21.259726,15.159064,3.783586,24.702316,STARFORMING,0.078864
331.77236,12.314614,GALAXY,28.674826,106.114594,65.777733,10.713869,140.911057,STARFORMING,0.079084
331.68421,12.361015,GALAXY,24.786907,74.947746,50.13375900000001,10.211862,93.759186,STARFORMING,0.121904
331.6025,11.671886,GALAXY,13.827643,32.804367,24.669159,5.224069999999998,38.605118,STARFORMING,0.048987
331.63381,11.843482,GALAXY,15.893315,70.775696,40.914551,5.613626,94.74144,STARFORMING,0.14618599999999998
331.566,11.802475999999999,GALAXY,68.718346,227.943573,152.508072,21.289265,290.617584,STARFORMING,0.078337
172.68497,0.81773544,GALAXY,20.339073000000006,45.585236,34.103367,7.871127,51.960602,STARFORMING,0.073264
172.80235,0.40174055,GALAXY,9.240341,28.640812,20.029964,3.21418,35.523033,STARFORMING,0.13078199999999998
172.98549,0.40349991,GALAXY,49.744511,140.645172,89.830513,25.653006,161.039444,STARBURST,0.118247
172.62015,0.80161584,GALAXY,11.197757,31.745483,22.17411,3.485185,40.026321,STARFORMING,0.067337
172.86439,0.38447773,GALAXY,18.215099,69.76808199999999,46.447781,5.249509,89.612289,STARFORMING,0.1289
172.8731,0.73869932,GALAXY,19.336044,56.609871,39.058163,7.007555,68.471329,STARFORMING,0.074847
172.91513999999998,0.21503775,GALAXY,21.536854,82.512924,55.073963,6.503158,106.22963,STARFORMING,0.132356
172.84153,1.1798068000000002,GALAXY,20.183725,75.10039499999998,49.569382,7.0442,97.808815,STARFORMING,0.13195
173.19193,0.76206015,GALAXY,161.692123,438.064331,328.368042,38.044758,513.663513,BROADLINE,0.068018
172.83902,1.2053551000000002,GALAXY,19.459688,61.75182,42.435738,7.987174,74.817879,STARFORMING,0.12583
173.05608999999998,0.81927396,GALAXY,94.378723,313.399963,215.647827,27.495604,396.280701,STARFORMING,0.019539
172.95252,0.86325195,GALAXY,28.281387,102.482475,64.341148,12.230962,144.59491,STARFORMING,0.025363
173.09131000000002,0.80232231,GALAXY,69.67572,134.899979,113.438545,43.790401,159.542603,STARBURST,0.019757
172.94677,0.9323942,GALAXY,41.47393,139.298706,91.281059,12.435476,172.476654,STARFORMING,0.10416
173.26097,0.55941493,GALAXY,10.089506,36.049694,23.10936,2.085539,46.342518,STARFORMING,0.066854
173.22253999999998,0.56798585,GALAXY,18.927847,36.418678,29.298635,9.576809,41.225529,STARFORMING,0.019511
173.02815,0.48663806,GALAXY,12.560148,47.479782,28.710905,4.601578,57.79675699999999,STARBURST,0.118031
173.0095,0.19870525,GALAXY,19.456518,77.397835,49.576771,7.3922789999999985,97.162048,STARFORMING,0.183257
173.07723000000001,0.29074999,GALAXY,39.827934,123.618736,85.58206899999998,13.475126,149.473572,STARFORMING,0.133879
156.45983999999999,5.9302892,GALAXY,23.94986,90.486816,61.135677,7.3001559999999985,121.019348,BROADLINE,0.111474
156.33471,5.929939599999999,GALAXY,92.733871,301.564423,206.13446,33.824806,388.164032,BROADLINE,0.043486
156.56316,5.9599004,GALAXY,14.677841,50.256725,33.186367,6.273239,61.809471,STARFORMING,0.14634
156.68465,6.1817188,GALAXY,20.269188,83.470451,50.133602,8.48018,109.633919,STARFORMING,0.121444
156.77868,6.0592263,GALAXY,19.9722,69.48671,44.19781500000001,8.267897999999999,90.086136,STARFORMING,0.058989
156.71346,6.292133,GALAXY,32.30584,85.946823,61.02499399999999,14.525429,103.752243,STARFORMING,0.110018
156.20006,5.6520876,GALAXY,16.234629,50.473404,33.476807,7.330728999999999,62.892025,STARBURST,0.15854300000000002
207.00826,33.760664,GALAXY,6.111162,7.751809,4.7911220000000005,4.738509,5.630562,STARBURST,0.060309
207.01675,33.625506,GALAXY,0.639754,5.803439,2.9449,0.215045,9.711696,STARFORMING,0.350804
162.04607,2.6519267,GALAXY,17.327723000000002,69.374771,43.117622,5.36214,92.546875,STARFORMING,0.13977
161.92700000000002,2.6521133,GALAXY,5.1734860000000005,25.98395,16.468916,3.426295,37.458263,STARFORMING,0.360609
162.0593,2.3740259999999997,GALAXY,15.691356,55.310516,36.618275,7.892799,69.527489,AGN,0.189088
161.73737,2.8692658,GALAXY,17.652535999999994,57.223984,38.579006,7.491614,72.560562,STARFORMING,0.152167
162.59553,3.3490763999999995,GALAXY,50.504723,210.239899,132.33410600000002,11.50835,276.262329,AGN,0.067673
162.5747,3.1495990000000003,GALAXY,25.080536,53.76446899999999,40.26194,11.734189,61.514599,STARFORMING,0.056504
162.57681000000002,3.3858181000000003,GALAXY,49.133957,167.424316,109.67651399999998,17.141551999999994,213.87619,STARFORMING,0.067958
162.51118,3.0274472,GALAXY,9.696654,35.62768900000001,22.991556,4.559278,45.170361,AGN,0.145372
162.21223,2.8149807,GALAXY,13.696934,39.339264,27.464598,7.606141,47.387318,STARFORMING,0.150619
162.31192,2.7814245,GALAXY,30.588964,63.163769,47.528748,19.397581,72.728401,STARFORMING,0.041266
162.27081,2.3724642000000005,GALAXY,16.134157000000002,56.102791,36.58107,8.757902,73.768585,STARFORMING,0.17411
162.27623,2.2241458,GALAXY,48.708748,107.699081,80.544853,26.522484,129.36265600000002,STARFORMING,0.035489
162.37391000000002,2.5186642000000004,GALAXY,13.819736,34.444977,24.965279,6.639497,40.932896,STARFORMING,0.061902
162.88549,3.1217853,GALAXY,75.557594,241.77909900000003,161.420288,29.296989,308.413422,STARFORMING,0.067679
24.678851,6.0976626,GALAXY,21.011086,118.799118,69.15793599999999,5.317136,185.120468,BROADLINE,0.121189
30.873417,1.178082,GALAXY,10.40662,34.496132,21.974634,3.231691,38.254559,STARBURST,0.13775
30.496319,0.73977101,GALAXY,9.613391,28.705191,19.322369,2.9012990000000003,34.493164,STARFORMING,0.091676
30.624802000000003,0.72719401,GALAXY,8.641127000000001,42.387775,26.016138,3.1739580000000003,55.011627,AGN,0.18507
30.974707000000002,0.62611502,GALAXY,11.196671,24.817638,18.404522,6.464792,28.860126,STARFORMING,0.133126
30.819262,1.0813469999999998,GALAXY,6.019458,13.843328,10.353697,3.450093,16.555495999999998,STARFORMING,0.075272
30.533264000000003,0.62710798,GALAXY,9.16521,27.153263,18.425232,5.463996,36.415352,STARFORMING,0.077614
30.998793,0.63436598,GALAXY,4.921094999999998,8.541051,6.9727190000000006,3.120314,11.252965,STARFORMING,0.075066
30.246119,0.45739399999999997,GALAXY,8.195585000000001,26.979523,17.707817000000006,4.281059,35.104534,STARFORMING,0.166352
30.260525,0.209249,GALAXY,6.638192,16.768219000000002,12.247528,2.921363,21.271635,STARFORMING,0.125352
30.365562,0.43797499,GALAXY,14.471275,50.920528,34.589119000000004,6.061457,65.86994200000001,STARFORMING,0.159579
30.245397999999998,0.41343599999999997,GALAXY,8.431261,19.448221,14.802437,3.620349,23.594339,STARBURST,0.16431800000000002
30.285359999999997,0.44989899,GALAXY,2.6450970000000003,8.958594,6.2368739999999985,0.394905,11.009626,STARFORMING,0.16584200000000002
30.378596999999996,0.020437999999999998,GALAXY,13.500832,43.58437,28.726131,5.355859,54.47614300000001,STARFORMING,0.135179
30.341606,0.101675,GALAXY,12.41197,37.840977,26.240574,5.889965,46.697636,STARFORMING,0.135278
31.055777000000003,1.104185,GALAXY,10.215635,23.523958,16.617529,5.562493,26.092306,STARBURST,0.119929
31.255381,1.0592771,GALAXY,5.477204,14.402739000000002,9.879128,2.168326,19.265125,STARFORMING,0.092702
31.268928999999996,1.0115629000000002,GALAXY,3.902316,14.375834,8.727708999999999,0.973979,21.431396,STARFORMING,0.082957
31.057631,0.82122201,GALAXY,8.039686999999999,35.510563,21.59878,2.682804,50.214718,STARFORMING,0.111066
31.032021000000004,1.1283290000000001,GALAXY,6.7645800000000005,14.734176,10.230017,3.774357,15.131048000000002,STARBURST,0.119617
30.650963,0.5501159999999999,GALAXY,8.14382,27.040218,16.684036,2.391009,34.158161,STARBURST,0.155999
30.759204999999998,0.226642,GALAXY,9.701243,24.630203,17.561726,5.593495,30.434296000000003,STARFORMING,0.160024
30.540939,0.48047701,GALAXY,7.592247,21.403425,14.943409,3.878018,26.489491,STARFORMING,0.17088499999999998
235.00508,4.2686638,GALAXY,19.966309,68.18457,44.511692,7.73624,88.401535,STARFORMING,0.102518
222.90132999999997,8.8757045,GALAXY,22.346354,47.602844,32.763248,13.714004999999998,51.609612,STARBURST,0.08557100000000001
222.69876000000002,9.052142300000002,GALAXY,32.508617,80.603996,55.12287900000001,16.986045999999998,93.191154,STARBURST,0.115611
222.78714,8.926092500000001,GALAXY,14.655448000000002,59.626362,37.242077,5.588706,79.78685,STARFORMING,0.145678
222.71082,8.6423856,GALAXY,20.239521,71.36569200000002,47.054947,9.725712,85.050247,AGN,0.116835
222.66234,8.7948819,GALAXY,17.213243,78.816727,45.838379,5.16632,109.65023,STARFORMING,0.06069400000000001
223.15466,8.374128299999999,GALAXY,25.331717,85.011513,61.394115,13.104026,103.873741,BROADLINE,0.27773000000000003
223.27031000000002,8.297066099999999,GALAXY,22.027912,66.565353,44.248886,8.793727,84.888329,STARFORMING,0.060643
223.16962,8.3500771,GALAXY,7.271267,15.328239000000002,11.353096,3.531969,17.355957,STARFORMING,0.07194500000000001
149.78471000000002,2.0946093999999995,GALAXY,12.243477,38.192112,25.708555,4.6866629999999985,50.015362,STARFORMING,0.092608
149.68635,2.0470642,GALAXY,36.60471,114.230995,75.924576,14.981516,140.522125,STARFORMING,0.092693
149.8304,2.999841,GALAXY,32.005309999999994,51.265923,41.848598,17.238089000000002,52.867188,STARBURST,0.074627
149.63931000000002,3.0561198,GALAXY,19.657677,37.274952,29.64946,18.206514,42.615303,STARFORMING,0.042076
149.66255,2.9571002999999996,GALAXY,16.817379000000006,26.804979,21.697794,11.069335,26.733091,STARFORMING,0.07901
149.83401,3.0239644,GALAXY,21.553089,53.86584499999999,39.837803,9.228163,63.728302,STARFORMING,0.074663
149.69896,2.7587049,GALAXY,29.626186,47.974461,37.831203,16.734070000000006,46.977394,STARBURST,0.079127
150.19391000000002,2.5512759,GALAXY,10.00282,24.822645,18.173758,3.013336,28.641346,STARFORMING,0.106815
150.09561000000002,2.2201313,GALAXY,34.824001,48.791569,40.708881,26.629847,47.998962,STARBURST,0.185999
150.19857,2.0685225,GALAXY,14.011315,67.13634499999999,42.62669,4.371453,86.916122,BROADLINE,0.185325
149.92911999999998,2.8711159,GALAXY,29.345695000000006,86.813751,63.25584,11.273672,107.448296,STARFORMING,0.102328
149.99539,3.0399355,GALAXY,31.584290000000006,84.57061800000002,53.107109,15.785734,89.049446,STARBURST,0.090588
323.49822,2.8006202,GALAXY,13.254726000000002,62.910458,40.333187,3.419484,89.680092,BROADLINE,0.159483
199.69216,40.612413000000004,GALAXY,1.042254,11.353677,4.754784,-0.381602,18.864712,STARFORMING,0.5022840000000001
214.64222999999998,45.762438,GALAXY,35.80240999999999,101.48082,71.52089699999998,13.911908,123.711075,STARFORMING,0.072655
214.78333999999998,45.792262,GALAXY,11.396161,21.236656,17.37775,7.076532,24.318014,STARFORMING,0.026968
215.45803999999998,44.841141,GALAXY,17.401373,36.102642,26.483017,9.429594,40.001549,STARBURST,0.141262
214.27555,45.617078,GALAXY,63.705746,192.873749,130.623001,24.73353,239.055328,STARFORMING,0.071974
214.30143999999999,45.566059,GALAXY,22.427717,55.399719,39.26228,10.304275,64.05953199999999,STARFORMING,0.072033
214.43339,45.142484,GALAXY,42.790749,93.367897,64.700523,24.131197,98.725082,STARBURST,0.120943
214.42213999999998,45.465826,GALAXY,175.788177,560.8477780000002,390.303162,52.919895,726.474792,BROADLINE,0.027447000000000003
214.28126,45.17729,GALAXY,25.768372,83.025085,57.079067,10.618668,105.65251200000002,STARFORMING,0.107962
214.44328,45.784034000000005,GALAXY,13.282622,38.899418,26.650829,4.815798,47.816402,STARFORMING,0.089101
214.51036000000002,45.697831,GALAXY,36.87616,128.674271,86.307602,13.789011,167.743744,STARFORMING,0.123459
214.4098,45.610259,GALAXY,27.011072,55.87868100000001,39.844761,17.123688,58.577572,STARBURST,0.098466
215.26962999999998,44.791712,GALAXY,32.910854,51.511475,42.737366,20.856936,55.687592,STARBURST,0.040355
215.26555,44.83911,GALAXY,69.052139,132.63691699999998,104.926735,43.223888,154.514603,STARBURST,0.033193
214.86512000000002,44.783882,GALAXY,76.666557,200.508575,143.597275,34.907162,250.423767,STARFORMING,0.040509
215.13556,44.633016,GALAXY,47.502541,175.491058,118.3722,14.018057,232.755676,BROADLINE,0.092808
214.94242999999997,45.08645,GALAXY,29.098049,106.775665,69.955688,11.948643,138.3517,STARFORMING,0.150051
214.94984,44.68235,GALAXY,13.297143,38.396523,26.037491,6.792052,48.400658,STARFORMING,0.07305
206.57639,29.223833000000003,GALAXY,19.170048,53.894547,37.642731,7.074039999999999,63.697414,STARFORMING,0.101741
206.61029,29.633406,GALAXY,22.191444,62.550468,42.301529,11.418045,72.39924599999998,STARFORMING,0.12603499999999998
206.50638,29.690878,GALAXY,17.773478,46.203571,33.101490000000005,6.53872,53.679565,STARFORMING,0.060802
207.02718000000002,29.447810999999998,GALAXY,16.747934,30.608099,23.59409,8.77145,30.808533,STARBURST,0.077981
206.7884,29.676732,GALAXY,48.765514,125.399818,91.035545,19.636248,152.78866599999995,STARFORMING,0.038305
206.85513,29.625431,GALAXY,16.670029,41.056999,28.921364,6.117479,47.49802800000001,STARFORMING,0.077115
206.5546,29.6593,GALAXY,10.737559,32.748779,22.159407,4.006412,43.24736,STARFORMING,0.055723
206.73521000000002,29.658065999999998,GALAXY,48.761986,78.096909,65.638153,29.608372,86.738098,STARFORMING,0.032057
207.08516,29.7518,GALAXY,15.135462,34.643635,25.911732,7.188687,42.423752,STARFORMING,0.038771
207.06193000000002,29.803801,GALAXY,11.540402,27.195501,19.809481,5.991788,31.852968,STARFORMING,0.061676
206.81213,29.948425,GALAXY,14.535942000000002,49.961067,33.044903000000005,3.149595,62.61349499999999,STARFORMING,0.119641
206.70248,30.102622999999998,GALAXY,33.040966,64.634399,50.32526,15.986958,70.974091,STARFORMING,0.050775
206.32334,29.435529,GALAXY,11.934641,21.024771,16.94364,6.322712,23.88159,STARFORMING,0.054387
205.88312,29.413425,GALAXY,13.127541,31.862488,23.271835,5.171282,37.559349,STARFORMING,0.076516
